ID,x,y,z
280,-0.026415094,0.547169811,1.045283019
281,-0.101886792,0.79245283,1.00754717
282,0.139622642,0.747169811,0.871698113
283,0.116981132,0.773584906,1
284,0.094339623,0.8,1.124528302
285,0.2,0.875471698,0.966037736
286,-0.011320755,0.8,1
287,-0.071698113,0.822641509,0.671698113
288,-0.226415094,0.8,0.901886792
289,-0.211320755,0.664150943,0.803773585
290,-0.030188679,0.81509434,0.698113208
291,-0.075471698,0.79245283,0.709433962
292,-0.120754717,0.769811321,0.716981132
293,-0.166037736,0.750943396,0.724528302
294,-0.211320755,0.728301887,0.735849057
295,-0.256603774,0.709433962,0.743396226
296,-0.301886792,0.686792453,0.750943396
297,-0.347169811,0.667924528,0.758490566
298,-0.39245283,0.645283019,0.769811321
299,-0.437735849,0.626415094,0.777358491
300,-0.483018868,0.603773585,0.78490566
301,-0.528301887,0.58490566,0.79245283
302,-0.573584906,0.562264151,0.803773585
303,-0.618867925,0.543396226,0.811320755
304,-0.664150943,0.520754717,0.818867925
305,-0.713207547,0.501886792,0.826415094
306,-0.698113208,0.467924528,0.788679245
307,-0.675471698,0.550943396,0.969811321
308,-0.660377358,0.347169811,0.969811321
309,-0.645283019,0.147169811,0.966037736
310,-0.630188679,-0.049056604,0.966037736
311,-0.61509434,-0.252830189,0.962264151
312,-0.456603774,-0.00754717,0.845283019
313,-0.588679245,-0.105660377,0.852830189
314,-0.464150943,-0.00754717,0.928301887
315,-0.513207547,-0.071698113,0.958490566
316,-0.566037736,-0.139622642,0.988679245
317,-0.618867925,-0.20754717,1.018867925
